#
#   version : 20090611
#    num_fr : 14
#      time : 20091027 09:04:12.503 UTC
#      unix : 1256634252.503816
#       ntp : LOCK 2257 243429 1021
#       seq : 9097031
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.334  1764 9097021  370.725  171.762  22.929   99.841  -6.48  -6.48  0000
   30  -0.300  2863 9097022  371.907  168.817  23.715   99.127  -7.66  -7.66  0000
   31  -0.267  4154 9097023  372.155  165.298  24.450   97.797  -8.31  -8.31  0000
   32  -0.234  5410 9097024  373.126  162.193  25.242   97.032  -8.74  -8.74  0000
   33  -0.200  6422 9097025  374.374  158.911  26.124   96.371  -9.03  -9.03  0000
   34  -0.167  7951 9097026  375.567  155.170  27.095   95.571  -9.34  -9.34  0000
   35  -0.133  8717 9097027  376.430  151.537  27.995   94.720  -9.47  -9.47  0000
   36  -0.100  8208 9097028  376.913  148.922  28.624   94.083  -9.56  -9.56  0000
   37  -0.067  9442 9097029  378.632  144.394  29.868   93.401  -9.46  -9.46  0000
   38  -0.033 10900 9097030  378.743  141.080  30.597   92.481 -10.08 -10.08  0000
   39   0.000 12067 9097031  380.424  136.557  31.847   91.889  -9.97  -9.97  0000
   40   0.033  8483 9097032  381.084  133.963  32.519   91.454  -9.66  -9.66  0000
   41   0.067 10081 9097033  382.455  128.427  33.957   90.567  -9.76  -9.76  0000
   42   0.100  9664 9097034  382.980  123.499  35.141   89.588 -10.05 -10.05  0000
