#
#   version : 20090611
#    num_fr : 46
#      time : 20091028 05:37:34.283 UTC
#      unix : 1256708254.283025
#       ntp : LOCK -1085 343210 461
#       seq : 11314866
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -1.134  1997 11314832  431.643  163.551  37.464  115.661  -5.73  -5.73  0000
   33  -1.034  2601 11314835  433.716  159.073  38.584  114.575  -6.67  -6.67  0000
   34  -1.001  2954 11314836  435.045  157.853  39.073  114.444  -7.04  -7.04  0000
   35  -0.968  3064 11314837  435.347  155.655  39.462  113.796  -7.23  -7.23  0000
   36  -0.934  3509 11314838  435.960  154.714  39.744  113.620  -7.54  -7.54  0000
   37  -0.901  3747 11314839  436.355  153.513  40.014  113.321  -7.60  -7.60  0000
   38  -0.868  4163 11314840  436.792  151.152  40.469  112.676  -7.80  -7.80  0000
   39  -0.834  4301 11314841  437.732  149.675  40.911  112.415  -7.88  -7.88  0000
   40  -0.801  4274 11314842  437.456  148.131  41.083  111.891  -8.10  -8.10  0000
   41  -0.767  4641 11314843  438.118  146.597  41.473  111.568  -8.15  -8.15  0000
   42  -0.734  4628 11314844  439.312  144.863  42.019  111.301  -8.21  -8.21  0000
   43  -0.701  4951 11314845  439.563  143.137  42.349  110.851  -8.28  -8.28  0000
   44  -0.667  4991 11314846  440.363  141.894  42.729  110.658  -8.34  -8.34  0000
   45  -0.634  5358 11314847  440.987  139.971  43.180  110.240  -8.54  -8.54  0000
   46  -0.601  5329 11314848  441.429  138.268  43.557  109.855  -8.46  -8.46  0000
   47  -0.567  5636 11314849  441.816  137.077  43.839  109.605  -8.63  -8.63  0000
   48  -0.534  6009 11314850  442.853  135.339  44.360  109.341  -8.68  -8.68  0000
   49  -0.500  5428 11314851  442.448  133.546  44.567  108.776  -8.54  -8.54  0000
   50  -0.467  6280 11314852  443.252  131.513  45.089  108.401  -8.77  -8.77  0000
   51  -0.434  6042 11314853  443.892  130.049  45.481  108.148  -8.66  -8.66  0000
   52  -0.400  6332 11314854  444.469  128.429  45.886  107.847  -8.89  -8.89  0000
   53  -0.367  5992 11314855  445.354  126.146  46.477  107.445  -8.83  -8.83  0000
   54  -0.334  6116 11314856  445.802  124.743  46.820  107.184  -8.80  -8.80  0000
   55  -0.300  6380 11314857  446.461  123.132  47.248  106.917  -8.78  -8.78  0000
   56  -0.267  6466 11314858  446.387  121.186  47.575  106.425  -8.87  -8.87  0000
   57  -0.234  6941 11314859  447.768  119.577  48.165  106.315  -8.95  -8.95  0000
   58  -0.200  7374 11314860  447.620  117.936  48.427  105.893  -9.14  -9.14  0000
   59  -0.167  7563 11314861  448.124  116.309  48.831  105.611  -9.14  -9.14  0000
   60  -0.133  7913 11314862  448.975  114.166  49.406  105.283  -9.17  -9.17  0000
   61  -0.100  7256 11314863  449.318  113.061  49.683  105.098  -9.14  -9.14  0000
   62  -0.067  7683 11314864  450.086  110.997  50.230  104.782  -9.17  -9.17  0000
   63  -0.033 13402 11314865  450.631  107.784  50.946  104.174 -10.15 -10.15  0000
   64   0.000 16609 11314866  450.140  107.097  50.971  103.926 -10.89 -10.89  0000
   65   0.033 16014 11314867  451.181  105.385  51.517  103.760 -10.67 -10.67  0000
   66   0.067 13192 11314868  451.279  105.141  51.584  103.726 -10.22 -10.22  0000
   67   0.100 10358 11314869  452.271  102.340  52.330  103.322  -9.59  -9.59  0000
   68   0.133  8693 11314870  452.395  101.395  52.537  103.147  -9.37  -9.37  0000
   69   0.167  8013 11314871  453.464   99.370  53.155  102.933  -9.11  -9.11  0000
   70   0.200  7820 11314872  453.494   97.163  53.591  102.485  -9.18  -9.18  0000
   71   0.234  7463 11314873  454.389   95.543  54.096  102.330  -9.00  -9.00  0000
   72   0.267  7606 11314874  454.385   93.536  54.492  101.927  -9.19  -9.19  0000
   73   0.300  9423 11314875  454.568   92.636  54.709  101.784  -9.81  -9.81  0000
   74   0.334  6465 11314876  455.671   90.192  55.426  101.517  -8.88  -8.88  0000
   75   0.367  4407 11314877  455.595   89.345  55.581  101.338  -8.05  -8.05  0000
   76   0.400  4278 11314878  456.789   86.908  56.320  101.099  -7.79  -7.79  0000
   77   0.434  4218 11314879  455.759   85.838  56.325  100.699  -7.74  -7.74  0000
