#
#   version : 20090611
#    num_fr : 19
#      time : 20100809 07:22:09.525 UTC
#      unix : 1281338529.525183
#       ntp : LOCK -30 513827 1570
#       seq : 5655837
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.434  1687 5655824  582.415  286.074  77.102  154.897  -6.16  -6.16  0000
   31  -0.400  1938 5655825  582.701  287.138  77.247  155.092  -6.49  -6.49  0000
   32  -0.367  2729 5655826  582.959  288.791  77.416  155.404  -7.11  -7.11  0000
   33  -0.334  3117 5655827  583.956  289.930  77.789  155.577  -7.60  -7.60  0000
   34  -0.300  3549 5655828  584.079  290.943  77.885  155.768  -7.85  -7.85  0000
   35  -0.267  3633 5655829  584.071  292.068  77.946  155.987  -7.82  -7.82  0000
   36  -0.234  3878 5655830  584.669  293.883  78.239  156.308  -7.96  -7.96  0000
   37  -0.200  4758 5655831  585.080  294.595  78.410  156.424  -8.41  -8.41  0000
   38  -0.167  4881 5655832  585.398  296.024  78.596  156.682  -8.53  -8.53  0000
   39  -0.133  4819 5655833  585.223  297.161  78.612  156.909  -8.51  -8.51  0000
   40  -0.100  5607 5655834  585.839  298.636  78.899  157.158  -8.75  -8.75  0000
   41  -0.067  6423 5655835  585.986  299.664  79.011  157.346  -8.99  -8.99  0000
   42  -0.033  9662 5655836  586.289  300.744  79.177  157.535  -9.70  -9.70  0000
   43   0.000 12774 5655837  586.510  302.504  79.364  157.856 -10.17 -10.17  0000
   44   0.033  8581 5655838  586.000  303.096  79.246  157.997  -9.67  -9.67  0000
   45   0.067  8580 5655839  587.026  304.534  79.666  158.209  -9.44  -9.44  0000
   46   0.100  5620 5655840  586.570  305.622  79.601  158.441  -8.90  -8.90  0000
   47   0.133  3187 5655841  586.925  306.702  79.789  158.623  -7.64  -7.64  0000
   48   0.167  2247 5655842  587.143  307.576  79.921  158.774  -7.04  -7.04  0000
