#
#   version : 20090611
#    num_fr : 14
#      time : 20100815 10:30:30.937 UTC
#      unix : 1281868230.937959
#       ntp : LOCK 340 1384960 532
#       seq : 3727032
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.234  2021 3727025  495.173  128.517  58.028  116.059  -7.22  -7.22  0000
   31  -0.200  2057 3727026  495.659  128.599  58.140  116.139  -7.68  -7.68  0000
   32  -0.167  2774 3727027  497.702  127.961  58.755  116.251  -8.05  -8.05  0000
   33  -0.133  4657 3727028  498.726  127.744  59.049  116.330  -8.78  -8.78  0000
   34  -0.100  4519 3727029  501.346  127.434  59.768  116.581  -9.07  -9.07  0000
   35  -0.067  5068 3727030  502.750  127.566  60.113  116.779  -9.11  -9.11  0000
   36  -0.033  8913 3727031  503.685  127.752  60.329  116.931  -9.36  -9.36  0000
   37   0.000 10580 3727032  504.884  127.782  60.637  117.079  -9.34  -9.34  0000
   38   0.033  4993 3727033  507.907  127.572  61.457  117.382  -9.14  -9.14  0000
   39   0.067  7679 3727034  508.771  127.693  61.666  117.507  -9.27  -9.27  0000
   40   0.100  4179 3727035  511.493  127.105  62.465  117.684  -9.16  -9.16  0000
   41   0.133  4230 3727036  513.451  127.414  62.940  117.967  -8.68  -8.68  0000
   42   0.167  3502 3727037  515.168  127.312  63.410  118.131  -8.71  -8.71  0000
   43   0.200  2649 3727038  516.341  127.431  63.707  118.281  -8.07  -8.07  0000
