#
#   version : 20090611
#    num_fr : 28
#      time : 20121024 08:30:23.742 UTC
#      unix : 1351067423.742681
#       ntp : LOCK -99 833172 436
#       seq : 156111947
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.734  1927 156111925  201.188  354.252  40.787  -78.666  -5.87   0.95  0000
   32  -0.667  2284 156111927  204.074  360.388  41.359  -81.032  -6.20   0.62  0000
   34  -0.601  2235 156111929  207.982  366.605  41.823  -83.628  -6.25   0.57  0000
   35  -0.567  2364 156111930  207.772  368.716  42.293  -84.076  -6.24   0.58  0000
   36  -0.534  2546 156111931  210.730  372.069  42.432  -85.668  -6.47   0.35  0000
   37  -0.500  2181 156111932  212.838  375.138  42.697  -86.946  -6.31   0.51  0000
   38  -0.467  2160 156111933  214.432  378.501  43.139  -88.125  -6.14   0.68  0000
   39  -0.434  2577 156111934  214.687  380.012  43.425  -88.517  -6.83  -0.01  0000
   40  -0.400  2369 156111935  216.384  382.475  43.675  -89.507  -6.53   0.29  0000
   41  -0.367  2595 156111936  219.581  386.525  44.051  -91.228  -6.66   0.16  0000
   42  -0.334  2310 156111937  219.977  388.357  44.404  -91.693  -6.66   0.16  0000
   43  -0.300  2350 156111938  222.082  391.361  44.761  -92.860  -6.26   0.56  0000
   44  -0.267  2609 156111939  224.252  394.637  45.192  -94.075  -6.67   0.15  0000
   45  -0.234  2689 156111940  224.956  396.775  45.591  -94.648  -6.61   0.21  0000
   46  -0.200  2375 156111941  226.997  398.352  45.665  -95.507  -6.51   0.31  0000
   47  -0.167  2732 156111942  228.338  401.447  46.217  -96.401  -6.78   0.04  0000
   48  -0.133  2799 156111943  230.125  404.517  46.714  -97.401  -6.96  -0.14  0000
   49  -0.100  2438 156111944  232.074  406.334  46.895  -98.243  -6.71   0.11  0000
   50  -0.067  2220 156111945  233.935  408.345  47.146  -99.081  -6.32   0.50  0000
   51  -0.033  2596 156111946  236.469  411.192  47.534 -100.221  -6.53   0.29  0000
   52   0.000  3493 156111947  237.665  414.427  48.204 -101.001  -7.75  -0.93  0000
   53   0.033  3027 156111948  237.859  416.101  48.606 -101.273  -7.33  -0.51  0000
   54   0.067  2726 156111949  239.864  418.245  48.915 -102.123  -7.09  -0.27  0000
   55   0.100  2786 156111950  241.366  420.355  49.284 -102.813  -7.08  -0.26  0000
   56   0.133  2653 156111951  243.768  422.395  49.544 -103.746  -6.84  -0.02  0000
   57   0.167  2466 156111952  244.970  424.932  50.076 -104.374  -6.66   0.16  0000
   58   0.200  2268 156111953  246.877  426.597  50.312 -105.102  -6.45   0.37  0000
   59   0.234  2034 156111954  247.570  428.181  50.659 -105.465  -6.00   0.82  0000
