#
#   version : 20090611
#    num_fr : 85
#      time : 20140112 12:44:48.390 UTC
#      unix : 1389530688.390617
#       ntp : LOCK 4172 860657 4929
#       seq : 358348788
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -2.836  2988 358348703  277.003  344.588  26.367 -105.282  -6.18   0.64  0000
   36  -2.636  3033 358348709  266.793  342.222  26.924  -99.385  -6.22   0.60  0000
   38  -2.569  3026 358348711  263.907  342.165  27.276  -97.924  -6.31   0.51  0000
   39  -2.536  2828 358348712  262.103  340.912  27.223  -96.709  -6.38   0.44  0000
   41  -2.469  2916 358348714  259.022  339.843  27.406  -94.926  -6.42   0.40  0000
   42  -2.436  2928 358348715  256.785  339.297  27.607  -93.713  -6.55   0.27  0000
   44  -2.369  3153 358348717  253.172  338.878  28.060  -91.928  -6.39   0.43  0000
   46  -2.302  3255 358348719  250.820  337.863  28.208  -90.572  -6.58   0.24  0000
   47  -2.269  3206 358348720  248.028  337.081  28.496  -89.114  -6.65   0.17  0000
   48  -2.236  3150 358348721  246.779  336.396  28.560  -88.365  -6.52   0.30  0000
   49  -2.202  3017 358348722  245.404  335.605  28.629  -87.532  -6.73   0.09  0000
   50  -2.169  3037 358348723  243.900  335.586  28.886  -86.902  -6.67   0.15  0000
   51  -2.135  3327 358348724  241.783  335.027  29.145  -85.860  -6.90  -0.08  0000
   52  -2.102  3082 358348725  239.048  334.106  29.454  -84.473  -6.84  -0.02  0000
   53  -2.069  3276 358348726  238.502  334.089  29.551  -84.256  -6.94  -0.12  0000
   54  -2.035  3344 358348727  236.969  333.233  29.667  -83.381  -6.82  -0.00  0000
   55  -2.002  3178 358348728  233.586  332.765  30.221  -81.964  -7.07  -0.25  0000
   56  -1.969  3786 358348729  233.645  331.999  30.063  -81.722  -7.21  -0.39  0000
   57  -1.935  3424 358348730  230.836  331.802  30.575  -80.649  -7.07  -0.25  0000
   58  -1.902  3670 358348731  228.463  330.952  30.890  -79.531  -6.92  -0.10  0000
   59  -1.869  3608 358348732  227.203  330.271  31.021  -78.865  -6.72   0.10  0000
   60  -1.835  3418 358348733  225.313  329.206  31.217  -77.862  -7.04  -0.22  0000
   61  -1.802  3693 358348734  224.753  329.216  31.335  -77.684  -7.01  -0.19  0000
   62  -1.768  3898 358348735  221.965  328.870  31.858  -76.673  -7.29  -0.47  0000
   63  -1.735  4146 358348736  220.354  327.458  31.957  -75.671  -7.28  -0.46  0000
   64  -1.702  3466 358348737  218.982  327.720  32.297  -75.350  -7.00  -0.18  0000
   65  -1.668  3355 358348738  217.035  326.365  32.492  -74.287  -7.18  -0.36  0000
   66  -1.635  3185 358348739  216.303  326.029  32.597  -73.954  -6.82   0.00  0000
   67  -1.602  3627 358348740  213.773  325.794  33.118  -73.153  -7.14  -0.32  0000
   69  -1.535  3567 358348742  211.024  324.381  33.510  -71.893  -6.37   0.45  0000
   71  -1.468  4060 358348744  207.166  323.760  34.294  -70.667  -6.99  -0.17  0000
   72  -1.435  3680 358348745  205.196  322.920  34.623  -69.874  -7.38  -0.56  0000
   73  -1.401  3385 358348746  203.753  321.586  34.763  -69.044  -7.27  -0.45  0000
   74  -1.368  4278 358348747  202.359  321.827  35.125  -68.800  -7.34  -0.52  0000
   75  -1.335  4410 358348748  200.269  320.791  35.471  -67.946  -7.66  -0.84  0000
   76  -1.301  4469 358348749  198.402  319.623  35.754  -67.109  -7.59  -0.77  0000
   77  -1.268  4848 358348750  197.172  319.802  36.075  -66.905  -7.74  -0.92  0000
   78  -1.235  4900 358348751  195.345  318.989  36.405  -66.225  -7.87  -1.05  0000
   79  -1.201  4184 358348752  194.182  318.203  36.583  -65.703  -7.72  -0.90  0000
   80  -1.168  4746 358348753  192.132  317.345  36.973  -64.982  -7.92  -1.10  0000
   81  -1.134  4890 358348754  191.609  316.927  37.047  -64.730  -7.87  -1.05  0000
   82  -1.101  4821 358348755  189.090  315.893  37.540  -63.877  -7.92  -1.10  0000
   83  -1.068  4716 358348756  187.133  315.154  37.937  -63.252  -7.83  -1.01  0000
   84  -1.034  4383 358348757  186.714  314.874  38.008  -63.077  -7.61  -0.79  0000
   85  -1.001  4463 358348758  184.155  313.838  38.528  -62.258  -7.82  -1.00  0000
   86  -0.968  4514 358348759  183.435  313.815  38.708  -62.126  -7.76  -0.94  0000
   87  -0.934  4338 358348760  181.095  312.470  39.147  -61.263  -7.92  -1.10  0000
   88  -0.901  4730 358348761  180.479  311.951  39.245  -60.981  -7.79  -0.97  0000
   89  -0.868  4424 358348762  178.003  311.108  39.788  -60.295  -7.58  -0.76  0000
   90  -0.834  4666 358348763  175.596  310.757  40.372  -59.805  -7.57  -0.75  0000
   91  -0.801  2957 358348764  175.550  309.589  40.258  -59.398  -7.15  -0.33  0000
   92  -0.767  4118 358348765  173.072  309.014  40.844  -58.840  -7.42  -0.60  0000
   93  -0.734  4725 358348766  171.953  307.410  40.972  -58.136  -7.62  -0.80  0000
   94  -0.701  3122 358348767  170.499  308.085  41.424  -58.164  -7.80  -0.98  0000
   95  -0.667  4707 358348768  168.439  307.327  41.891  -57.633  -7.51  -0.69  0000
   96  -0.634  4112 358348769  167.349  306.272  42.076  -57.137  -7.54  -0.72  0000
   97  -0.601  4439 358348770  165.474  305.385  42.491  -56.604  -7.45  -0.63  0000
   98  -0.567  4637 358348771  164.963  305.003  42.591  -56.414  -7.59  -0.77  0000
   99  -0.534  4129 358348772  162.293  304.152  43.228  -55.813  -7.74  -0.92  0000
  100  -0.500  4341 358348773  161.931  304.025  43.314  -55.728  -7.57  -0.75  0000
  101  -0.467  3722 358348774  160.140  303.146  43.717  -55.236  -7.63  -0.81  0000
  102  -0.434  4318 358348775  158.360  301.658  44.069  -54.555  -7.23  -0.41  0000
  103  -0.400  3190 358348776  157.153  301.845  44.413  -54.486  -7.49  -0.67  0000
  104  -0.367  4493 358348777  155.339  301.014  44.837  -54.029  -7.40  -0.58  0000
  105  -0.334  3963 358348778  154.132  300.192  45.099  -53.644  -7.49  -0.67  0000
  106  -0.300  4013 358348779  153.620  299.841  45.210  -53.481  -7.50  -0.68  0000
  107  -0.267  4492 358348780  151.888  298.993  45.618  -53.043  -7.40  -0.58  0000
  108  -0.234  4214 358348781  150.193  297.547  45.972  -52.428  -7.44  -0.62  0000
  109  -0.200  3935 358348782  149.185  297.855  46.274  -52.433  -7.54  -0.72  0000
  110  -0.167  4295 358348783  147.235  296.965  46.747  -51.982  -7.51  -0.69  0000
  111  -0.133  4768 358348784  146.958  296.062  46.757  -51.677  -7.51  -0.69  0000
  112  -0.100  4377 358348785  145.004  295.395  47.253  -51.307  -7.43  -0.61  0000
  113  -0.067  3909 358348786  143.857  294.398  47.503  -50.906  -7.49  -0.67  0000
  114  -0.033  4390 358348787  143.295  294.218  47.647  -50.806  -7.85  -1.03  0000
  115   0.000  5340 358348788  140.969  293.960  48.282  -50.548  -7.91  -1.09  0000
  116   0.033  3607 358348789  139.057  292.816  48.743  -50.059  -7.49  -0.67  0000
  117   0.067  5046 358348790  138.850  292.020  48.749  -49.803  -7.57  -0.75  0000
  118   0.100  3429 358348791  137.246  291.193  49.149  -49.442  -7.69  -0.87  0000
  119   0.133  4653 358348792  136.658  291.301  49.322  -49.434  -7.51  -0.69  0000
  120   0.167  3171 358348793  134.358  290.088  49.899  -48.920  -7.35  -0.53  0000
  121   0.200  4019 358348794  133.853  289.792  50.025  -48.799  -6.81   0.01  0000
  122   0.234  2941 358348795  132.558  289.131  50.354  -48.523  -7.20  -0.38  0000
  123   0.267  4095 358348796  131.035  288.101  50.729  -48.128  -6.56   0.26  0000
  124   0.300  3732 358348797  130.790  287.830  50.784  -48.034  -6.80   0.02  0000
  125   0.334  4898 358348798  128.188  287.047  51.486  -47.657  -6.97  -0.15  0000
