#
#   version : 20090611
#    num_fr : 20
#      time : 20140902 02:05:05.866 UTC
#      unix : 1409623505.866430
#       ntp : LOCK 65 247855 1096
#       seq : 37269510
#       mul : 1 [B]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.167  5482 37269505  157.348  297.190  43.976  -52.990  -8.88  -2.06  0000
   31  -0.133  9074 37269506  163.314  310.045  43.524  -57.856  -9.54  -2.72  0000
   32  -0.100  9649 37269507  169.789  321.837  43.150  -62.531  -9.52  -2.70  0000
   33  -0.067  8002 37269508  175.098  330.754  42.971  -66.173  -9.39  -2.57  0000
   34  -0.033 10307 37269509  182.796  341.028  42.622  -70.704  -9.70  -2.88  0000
   35   0.000 10531 37269510  191.288  352.993  42.681  -75.918  -9.64  -2.82  0000
   36   0.033  6545 37269511  194.280  356.591  42.678  -77.583  -8.77  -1.95  0000
   37   0.067  8518 37269512  201.207  366.762  43.181  -81.876  -9.16  -2.34  0000
   38   0.100  8009 37269513  208.389  379.781  44.496  -86.732  -9.05  -2.23  0000
   39   0.133  8460 37269514  220.232  387.204  44.100  -91.547  -9.21  -2.39  0000
   40   0.167  7699 37269515  231.194  400.937  45.691  -97.162  -9.46  -2.64  0000
   41   0.200  8953 37269516  240.308  408.910  46.483 -101.060  -9.51  -2.69  0000
   42   0.234  8535 37269517  249.052  418.627  47.995 -104.892  -9.54  -2.72  0000
   43   0.267  8223 37269518  258.444  427.259  49.384 -108.579  -9.44  -2.62  0000
   44   0.300  8346 37269519  268.196  436.969  51.262 -112.233  -9.58  -2.76  0000
   45   0.334  6293 37269520  278.642  448.061  53.715 -115.885  -9.60  -2.78  0000
   46   0.367  6371 37269521  284.349  452.693  54.755 -117.693  -8.93  -2.11  0000
   47   0.400  7507 37269522  300.340  464.575  57.675 -122.390  -9.43  -2.61  0000
   48   0.434  6494 37269523  308.311  468.646  58.755 -124.556  -8.65  -1.83  0000
   49   0.467  4474 37269524  317.759  475.762  60.827 -126.996  -8.40  -1.58  0000
