"","name","number","abbrev","peak.date","theo.ra","theo.dec","mean.ra","mean.dec","sdom","n.events","n.radiants","n.bad.events","n.bad.radiants","fishkent.p.value","vmf.mu.x","vmf.mu.y","vmf.mu.z","vmf.kappa","kent.mu.x","kent.mu.y","kent.mu.z","kent.kappa"
"...1","Quadrantids","010","QUA","20100103","230","49",248.460029960673,26.6377269835758,10.7165216033339,13,91,-1,-1,1.03726036926091e-07,-0.328180592724284,-0.831433574381099,0.448347755599386,2.04178280268209,-0.328180592724284,-0.831433574381099,0.448347755599386,2.33300924437199
"...2","α-Centaurids","102","ACE","20100208","210","-59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...3","γ-Normids","118","GNO","20100314","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...4","Lyrids","006","LYR","20100422","271","34",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...5","π-Puppids","137","PPU","20100423","110","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...6","η-Aquariids","031","ETA","20100506","338","-1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...7","η-Lyrids","145","ELY","20100509","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...8","June Bootids","170","JBO","20100627","224","48",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...9","Piscis Austr.","183","PAU","20100728","341","-30",19.1360383680637,52.0648740447039,9.9909916226035,6,21,-1,-1,0.0887249761895773,0.5807985054532,0.201528724510664,0.788707340691358,4.69818414771882,0.5807985054532,0.201528724510664,0.788707340691358,5.54184644147709
"...10","S. δ-Aquariids","005","SDA","20100728","339","-16",19.1360383680637,52.0648740447039,9.9909916226035,6,21,-1,-1,0.0887249761895773,0.5807985054532,0.201528724510664,0.788707340691358,4.69818414771882,0.5807985054532,0.201528724510664,0.788707340691358,5.54184644147709
"...11","α-Capricornids","001","CAP","20100730","307","-10",0.877636765024696,-35.6707421218231,17.8212777410448,5,15,-1,-1,0.000806633914437653,0.812286101324871,0.0124432883701392,-0.583126447838699,1.72272651110833,0.812286101324871,0.012443288370139,-0.583126447838699,2.80184420627169
"...12","Perseids","007","PER","20100812","48","58",41.1723630835187,58.8831791048191,2.08767313027849,82,3403,-1,-1,0.564575765050078,0.389000653834765,0.340213031224605,0.856115403845236,9.0749067113468,0.389000653834765,0.340213031224605,0.856115403845236,9.1006592402272
"...13","κ-Cygnids","012","KCG","20100818","286","59",59.3118256111974,58.1996291732243,19.2263217253726,10,55,-1,-1,0.115481197482872,0.268942832225883,0.453164385846604,0.849889282433065,0.807346875716378,0.268942832225883,0.453164385846604,0.849889282433065,0.843043788543791
"...14","Aurigids","206","AUR","20100901","84","42",58.3411344586061,34.193744355632,20.1687236610526,4,10,-1,-1,0.260239990572454,0.434134289732197,0.704053410550673,0.561993072529089,1.61405537086992,0.434134289732197,0.704053410550673,0.561993072529089,1.75307534896138
"...15","Sept. ε-Perseids","208","SPE","20100909","60","47",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
