"ra" "dec" "antirad" "event1" "event2"
"1" 36.5902071477145 20.7992573558531 -1 "ev_20121121_021134A_01" "ev_20121121_061911A_01"
"2" 13.7268483996753 24.0806693615945 -1 "ev_20121121_021134A_01" "ev_20121121_064923A_01"
"3" 322.419487312681 18.9616594940202 -1 "ev_20121121_021134A_01" "ev_20121121_070813A_01"
"4" 46.5808653950017 18.3051076360221 -1 "ev_20121121_021134A_01" "ev_20121121_071903A_01"
"5" 148.857162006249 21.5546265530754 1 "ev_20121121_061911A_01" "ev_20121121_064923A_01"
"6" 135.506879528957 27.314561196339 1 "ev_20121121_061911A_01" "ev_20121121_070813A_01"
"7" 127.605809191593 29.9225853457041 0 "ev_20121121_061911A_01" "ev_20121121_071903A_01"
"8" 134.530013831571 32.5248746972116 1 "ev_20121121_064923A_01" "ev_20121121_070813A_01"
"9" 143.76499759849 25.8687416932674 0 "ev_20121121_064923A_01" "ev_20121121_071903A_01"
"10" 135.337512013762 28.2575464907611 0 "ev_20121121_070813A_01" "ev_20121121_071903A_01"
