"ra" "dec" "antirad" "event1" "event2"
"1" "334.093414104264" "-24.7827725269535" "1" "ev_20131212_003901A_01" "ev_20131212_065618A_01"
"2" "353.639224270895" "-37.7167781227914" "-1" "ev_20131212_003901A_01" "ev_20131212_065652A_01"
"3" "102.775951097836" "-26.5967460586601" "1" "ev_20131212_003901A_01" "ev_20131212_065945A_01"
"4" "337.87290532566" "-27.8045570299404" "-1" "ev_20131212_003901A_01" "ev_20131212_071026A_01"
"5" "9.63337370836176" "-43.9317945290387" "0" "ev_20131212_003901A_01" "ev_20131212_071628A_01"
"6" "314.329867841091" "-5.29188188957018" "-1" "ev_20131212_003901A_01" "ev_20131212_073911A_01"
"7" "337.761693010055" "-27.7193082118615" "-1" "ev_20131212_003901A_01" "ev_20131212_075602A_01"
"8" "319.233519946654" "-10.5900729770299" "-1" "ev_20131212_003901A_01" "ev_20131212_075726A_01"
"9" "302.341351261341" "7.93966192282137" "0" "ev_20131212_003901A_01" "ev_20131212_081844A_01"
"10" "327.767985127473" "-19.1620867123137" "-1" "ev_20131212_003901A_01" "ev_20131212_082635A_01"
"11" "90.4753588963721" "-35.0152492604261" "1" "ev_20131212_003901A_01" "ev_20131212_082711A_01"
"12" "310.605116443887" "-1.17288187577365" "-1" "ev_20131212_003901A_01" "ev_20131212_083331A_01"
"13" "330.607627446158" "-21.7704005529868" "-1" "ev_20131212_003901A_01" "ev_20131212_084016A_01"
"14" "5.37178794319497" "-42.5996001253085" "-1" "ev_20131212_003901A_01" "ev_20131212_090600A_01"
"15" "103.927652281747" "-25.6710351590184" "1" "ev_20131212_003901A_01" "ev_20131212_090643A_01"
"16" "154.312649547961" "24.9650561309845" "-1" "ev_20131212_003901A_01" "ev_20131212_091824A_01"
"17" "308.305324463954" "1.38271050667562" "-1" "ev_20131212_003901A_01" "ev_20131212_093436A_01"
"18" "311.449110358878" "-2.10986347790924" "-1" "ev_20131212_003901A_01" "ev_20131212_094151A_01"
"19" "303.521989368968" "6.65725257154559" "-1" "ev_20131212_003901A_01" "ev_20131212_114006A_01"
"20" "77.7910931147154" "-41.1201910264565" "1" "ev_20131212_003901A_01" "ev_20131212_123853A_01"
"21" "81.2461258251402" "-39.6902305986472" "1" "ev_20131212_003901A_01" "ev_20131212_124201A_01"
"22" "308.714907654923" "0.927725477014172" "-1" "ev_20131212_003901A_01" "ev_20131213_083900A_01"
"23" "321.629227177658" "-13.0942438800478" "-1" "ev_20131212_003901A_01" "ev_20131214_060446A_01"
"24" "333.541206849997" "-24.3198428431609" "-1" "ev_20131212_003901A_01" "ev_20131214_110230A_01"
"25" "97.3762789953989" "-30.6192037712188" "1" "ev_20131212_003901A_01" "ev_20131214_112612A_01"
"26" "307.807565666735" "1.93530782598862" "-1" "ev_20131212_003901A_01" "ev_20131215_010501A_01"
"27" "340.824978467105" "-29.9863107602648" "-1" "ev_20131212_003901A_01" "ev_20131215_040328A_01"
"28" "313.963103815488" "-4.88873923219372" "-1" "ev_20131212_003901A_01" "ev_20131217_003321A_01"
"29" "311.392604178318" "-2.04717339769362" "-1" "ev_20131212_003901A_01" "ev_20131217_093704A_01"
"30" "313.061957009159" "-3.89541246620188" "-1" "ev_20131212_003901A_01" "ev_20131217_112445A_01"
"31" "325.774552499796" "-17.2526875417387" "-1" "ev_20131212_003901A_01" "ev_20131217_122040A_01"
"32" "319.459619922769" "-10.8291639347973" "-1" "ev_20131212_003901A_01" "ev_20131218_001054A_01"
"33" "59.9286470109421" "-46.1761912865223" "-1" "ev_20131212_003901A_01" "ev_20131218_003905A_01"
"34" "299.242144243976" "11.2482690473015" "-1" "ev_20131212_003901A_01" "ev_20131218_031711A_01"
"35" "312.451059069808" "-3.22008942424708" "-1" "ev_20131212_003901A_01" "ev_20131218_081600A_01"
"36" "341.993740371933" "-30.8071422855387" "-1" "ev_20131212_003901A_01" "ev_20131219_090016A_01"
"37" "175.199168463166" "38.4777450971739" "-1" "ev_20131212_003901A_01" "ev_20131220_105914A_01"
"38" "118.884968246012" "-11.6232891880431" "0" "ev_20131212_003901A_01" "ev_20131220_115619A_01"
"39" "348.928642098847" "-35.1908152857625" "-1" "ev_20131212_003901A_01" "ev_20131220_121435A_01"
"40" "353.837247893441" "-37.8154049669347" "-1" "ev_20131212_003901A_01" "ev_20131222_025527A_01"
"41" "305.446447193612" "4.54723747541163" "-1" "ev_20131212_003901A_01" "ev_20131223_080433A_01"
"42" "315.381569448854" "-6.44360932036113" "-1" "ev_20131212_003901A_01" "ev_20131223_111923A_01"
"43" "227.276202071639" "15.1400681805928" "-1" "ev_20131212_065618A_01" "ev_20131212_065652A_01"
"44" "122.365304263997" "17.6114665548291" "0" "ev_20131212_065618A_01" "ev_20131212_065945A_01"
"45" "158.125765030831" "25.202649746773" "-1" "ev_20131212_065618A_01" "ev_20131212_071026A_01"
"46" "159.76714251506" "25.3416183158686" "-1" "ev_20131212_065618A_01" "ev_20131212_071628A_01"
"47" "125.277535106209" "18.5491401489174" "0" "ev_20131212_065618A_01" "ev_20131212_073911A_01"
"48" "160.372015771302" "25.3881731457037" "-1" "ev_20131212_065618A_01" "ev_20131212_075602A_01"
"49" "130.295197767044" "20.0366229599134" "-1" "ev_20131212_065618A_01" "ev_20131212_075726A_01"
"50" "343.284614735363" "-25.577247658663" "-1" "ev_20131212_065618A_01" "ev_20131212_081844A_01"
"51" "141.731478028865" "22.7997850074623" "-1" "ev_20131212_065618A_01" "ev_20131212_082635A_01"
"52" "105.635942006076" "11.2588804049651" "0" "ev_20131212_065618A_01" "ev_20131212_082711A_01"
"53" "123.729585092211" "18.0574191221301" "0" "ev_20131212_065618A_01" "ev_20131212_083331A_01"
"54" "147.082926393271" "23.7869845094858" "-1" "ev_20131212_065618A_01" "ev_20131212_084016A_01"
"55" "183.102539766708" "25.3225174305072" "-1" "ev_20131212_065618A_01" "ev_20131212_090600A_01"
"56" "96.5916458926314" "7.25792842862604" "0" "ev_20131212_065618A_01" "ev_20131212_090643A_01"
"57" "334.590945874676" "-24.8406147033657" "-1" "ev_20131212_065618A_01" "ev_20131212_091824A_01"
