"ra" "dec" "antirad" "event1" "event2"
"1" "255.189424911855" "-41.052433885506" "-1" "ev_20121014_053908A_01" "ev_20121015_011539A_01"
"2" "155.84729729547" "79.7658934097955" "1" "ev_20121014_053908A_01" "ev_20121015_021519A_01"
"3" "254.210656157357" "-37.8589647665634" "-1" "ev_20121014_053908A_01" "ev_20121015_025309A_01"
"4" "141.464621672292" "79.4284094714831" "1" "ev_20121014_053908A_01" "ev_20121015_042812A_01"
"5" "289.275439812562" "-75.207579781011" "-1" "ev_20121014_053908A_01" "ev_20121015_051505A_01"
"6" "257.986452948705" "-48.6627138363271" "-1" "ev_20121014_053908A_01" "ev_20121015_063322A_01"
"7" "249.693946677688" "-18.934164514183" "-1" "ev_20121014_053908A_01" "ev_20121015_071417A_01"
"8" "91.7381878567805" "67.3194182552562" "1" "ev_20121014_053908A_01" "ev_20121015_073927A_01"
"9" "312.599931066603" "-78.859103126794" "-1" "ev_20121014_053908A_01" "ev_20121015_082048A_01"
"10" "211.259968753517" "72.479996008604" "0" "ev_20121014_053908A_01" "ev_20121015_084408A_01"
"11" "208.070158618374" "73.6815891800488" "0" "ev_20121014_053908A_01" "ev_20121015_084524A_01"
"12" "170.39172860211" "79.4483939187554" "1" "ev_20121014_053908A_01" "ev_20121015_085250A_01"
"13" "100.454069288801" "72.2403961777709" "0" "ev_20121014_053908A_01" "ev_20121015_094103A_01"
"14" "234.543291375014" "48.0801737617324" "0" "ev_20121014_053908A_01" "ev_20121015_094535A_01"
"15" "82.1465659376676" "56.7809073267109" "0" "ev_20121014_053908A_01" "ev_20121015_095658A_01"
"16" "254.830751230403" "-39.9170422058476" "0" "ev_20121014_053908A_01" "ev_20121015_100647A_01"
"17" "170.297427985835" "79.4526892269212" "1" "ev_20121014_053908A_01" "ev_20121015_100841A_01"
"18" "64.2828972091635" "-10.1931511603348" "-1" "ev_20121014_053908A_01" "ev_20121015_101827A_01"
"19" "217.529361953028" "69.3441821061819" "0" "ev_20121014_053908A_01" "ev_20121015_104136A_01"
