"ra" "dec" "antirad" "event1" "event2"
"1" "319.817624426882" "27.6673469587266" "0" "ev_20120503_084038A_01" "ev_20120503_100944A_01"
"2" "323.253084277442" "21.9533732851147" "-1" "ev_20120503_084038A_01" "ev_20120504_031421A_01"
"3" "16.1826615708623" "-54.0818580331024" "0" "ev_20120503_084038A_01" "ev_20120504_033029A_01"
"4" "312.60407322892" "37.6731554871751" "1" "ev_20120503_084038A_01" "ev_20120504_062738A_01"
"5" "352.540453374309" "-32.7739320318283" "1" "ev_20120503_084038A_01" "ev_20120504_063827A_01"
"6" "138.79590706064" "-29.2482915684374" "-1" "ev_20120503_084038A_01" "ev_20120504_084236A_01"
"7" "20.4313488568223" "-56.1581875901598" "1" "ev_20120503_084038A_01" "ev_20120504_085108A_01"
"8" "238.062610537892" "64.1212054650971" "-1" "ev_20120503_084038A_01" "ev_20120504_094304A_01"
"9" "153.395636445042" "-2.2030532470374" "-1" "ev_20120503_084038A_01" "ev_20120507_035220A_01"
"10" "5.23329034481125" "-46.7043843101858" "-1" "ev_20120503_084038A_01" "ev_20120507_045414A_01"
"11" "317.339872474393" "31.4064352431938" "1" "ev_20120503_084038A_01" "ev_20120507_070919A_01"
"12" "310.23266787561" "40.4023512525525" "1" "ev_20120503_084038A_01" "ev_20120507_072319A_01"
"13" "26.2626444397252" "-58.4737724054701" "1" "ev_20120503_084038A_01" "ev_20120507_090641A_01"
"14" "334.393279567548" "0.134884830012301" "1" "ev_20120503_084038A_01" "ev_20120507_091641A_01"
"15" "346.52360150871" "-23.4404364896441" "1" "ev_20120503_084038A_01" "ev_20120507_091930A_01"
"16" "250.88093109608" "64.1200176460478" "-1" "ev_20120503_084038A_01" "ev_20120507_092246A_01"
"17" "350.998864543864" "-30.5632137623718" "0" "ev_20120503_084038A_01" "ev_20120510_061824A_01"
"18" "35.4296029629375" "-61.1293626103431" "-1" "ev_20120503_084038A_01" "ev_20120510_062008A_01"
"19" "308.619516395448" "42.1151833917357" "0" "ev_20120503_084038A_01" "ev_20120510_092525A_01"
"20" "10.4008149645141" "-50.602785900203" "1" "ev_20120503_084038A_01" "ev_20120510_094414A_01"
"21" "326.416194849349" "16.1823172688141" "0" "ev_20120503_084038A_01" "ev_20120512_025851A_01"
"22" "220.451187813165" "62.177125945679" "-1" "ev_20120503_084038A_01" "ev_20120512_063344A_01"
"23" "263.545625559977" "62.9718498841526" "1" "ev_20120503_084038A_01" "ev_20120512_084837A_01"
"24" "305.971945687052" "44.692458624644" "0" "ev_20120503_084038A_01" "ev_20120512_093652A_01"
"25" "36.9116915248079" "-61.4653775500234" "0" "ev_20120503_084038A_01" "ev_20120513_024614A_01"
"26" "317.89454310069" "30.5974137906301" "1" "ev_20120503_084038A_01" "ev_20120513_064820A_01"
"27" "309.208066627783" "41.5032525869276" "0" "ev_20120503_084038A_01" "ev_20120513_082458A_01"
"28" "13.968781283039" "-52.8468422444591" "1" "ev_20120503_084038A_01" "ev_20120513_092114A_01"
"29" "330.292756282439" "8.56841413780571" "0" "ev_20120503_084038A_01" "ev_20120513_092750A_01"
"30" "245.782407617308" "64.2554190082888" "0" "ev_20120503_084038A_01" "ev_20120514_060404A_01"
"31" "294.818596167888" "52.9220796935443" "0" "ev_20120503_084038A_01" "ev_20120514_070145A_01"
"32" "140.272688682802" "-26.9455471245572" "-1" "ev_20120503_084038A_01" "ev_20120514_090157A_01"
"33" "325.008636583729" "18.8065856085014" "-1" "ev_20120503_084038A_01" "ev_20120514_093244A_01"
"34" "325.215782858761" "27.732903771926" "-1" "ev_20120503_100944A_01" "ev_20120504_031421A_01"
"35" "78.3038407463978" "-12.117235853306" "-1" "ev_20120503_100944A_01" "ev_20120504_033029A_01"
