"ra" "dec" "antirad" "event1" "event2"
"1" "203.34081655348" "13.0431792826552" "0" "ev_20120420_034343A_01" "ev_20120420_045507A_01"
"2" "202.983942751052" "13.5363685976517" "0" "ev_20120420_034343A_01" "ev_20120420_054632A_01"
"3" "219.661197557437" "-10.6413674997771" "-1" "ev_20120420_034343A_01" "ev_20120420_095209A_01"
"4" "106.410474154803" "54.8685167264981" "0" "ev_20120420_034343A_01" "ev_20120426_032152A_01"
"5" "224.54541794618" "-17.3298368608433" "1" "ev_20120420_034343A_01" "ev_20120426_061407A_01"
"6" "260.220463059971" "-47.6237160299034" "1" "ev_20120420_034343A_01" "ev_20120426_063130A_01"
"7" "189.47709457452" "29.8861748654585" "0" "ev_20120420_034343A_01" "ev_20120426_075617A_01"
"8" "202.406222838844" "14.3293468339876" "-1" "ev_20120420_034343A_01" "ev_20120426_091432A_01"
"9" "93.7987271457315" "52.3937285354569" "-1" "ev_20120420_034343A_01" "ev_20120429_092712A_01"
"10" "216.537931033049" "-6.14900389481261" "-1" "ev_20120420_034343A_01" "ev_20120429_093008A_01"
"11" "178.104195704601" "39.7588962697734" "-1" "ev_20120420_034343A_01" "ev_20120503_084038A_01"
"12" "218.041695186765" "-8.32796686817858" "-1" "ev_20120420_034343A_01" "ev_20120503_100944A_01"
"13" "293.021862283164" "-55.5641043297884" "-1" "ev_20120420_034343A_01" "ev_20120504_031421A_01"
"14" "150.079473468357" "52.6101737165448" "-1" "ev_20120420_034343A_01" "ev_20120504_033029A_01"
"15" "101.269459235112" "54.053486887016" "-1" "ev_20120420_034343A_01" "ev_20120504_062738A_01"
"16" "176.967128707529" "40.5646515253663" "-1" "ev_20120420_034343A_01" "ev_20120504_063827A_01"
"17" "29.5690580486257" "-4.11365348240286" "-1" "ev_20120420_034343A_01" "ev_20120504_084236A_01"
"18" "192.681016867889" "26.4593728819755" "-1" "ev_20120420_034343A_01" "ev_20120504_085108A_01"
"19" "191.121404581695" "28.1642411668736" "-1" "ev_20120420_034343A_01" "ev_20120504_094304A_01"
"20" "116.557361540526" "55.7829372505533" "0" "ev_20120420_034343A_01" "ev_20120507_035220A_01"
"21" "167.810259246953" "46.0372967321543" "0" "ev_20120420_034343A_01" "ev_20120507_045414A_01"
"22" "136.955577162772" "55.0418270142194" "-1" "ev_20120420_034343A_01" "ev_20120507_070919A_01"
"23" "246.380245957863" "-39.5909977581543" "1" "ev_20120420_034343A_01" "ev_20120507_072319A_01"
"24" "194.888463571281" "23.9277945052337" "-1" "ev_20120420_034343A_01" "ev_20120507_090641A_01"
"25" "137.980611515102" "54.9117466069693" "-1" "ev_20120420_034343A_01" "ev_20120507_091641A_01"
"26" "143.288000423739" "54.082437977181" "-1" "ev_20120420_034343A_01" "ev_20120507_091930A_01"
"27" "202.689241797332" "13.9417257193145" "-1" "ev_20120420_034343A_01" "ev_20120507_092246A_01"
"28" "194.812120642912" "24.0176433216639" "-1" "ev_20120420_034343A_01" "ev_20120510_061824A_01"
"29" "145.150174070494" "53.7267460563013" "0" "ev_20120420_034343A_01" "ev_20120510_062008A_01"
"30" "193.461776752603" "25.5797644751443" "-1" "ev_20120420_034343A_01" "ev_20120510_092525A_01"
