"ra" "dec" "antirad" "event1" "event2"
"1" "77.606022669824" "81.8272053498146" "-1" "ev_20131205_052030A_01" "ev_20131205_054441A_01"
"2" "71.4292549371192" "27.5394954349932" "-1" "ev_20131205_052030A_01" "ev_20131205_074155A_01"
"3" "66.2968777892531" "-78.3232837594321" "1" "ev_20131205_052030A_01" "ev_20131205_084502A_01"
"4" "69.0051865867792" "-63.5754408215736" "1" "ev_20131205_052030A_01" "ev_20131205_091651A_01"
"5" "66.8819162214869" "-76.6956697551599" "1" "ev_20131205_052030A_01" "ev_20131205_093457A_01"
"6" "69.4656139453314" "-56.8520866735215" "1" "ev_20131205_052030A_01" "ev_20131205_095419A_01"
"7" "70.9544661905468" "1.43784213945747" "1" "ev_20131205_052030A_01" "ev_20131205_111546A_01"
"8" "66.9411917987296" "-76.5054786811853" "1" "ev_20131205_052030A_01" "ev_20131205_112428A_01"
"9" "70.4603352126681" "-26.1724766084437" "0" "ev_20131205_052030A_01" "ev_20131206_025357A_01"
"10" "236.868583078721" "86.0692208550674" "-1" "ev_20131205_052030A_01" "ev_20131206_043017A_01"
"11" "71.3804242729699" "25.1921568932569" "0" "ev_20131205_052030A_01" "ev_20131206_050609A_01"
"12" "71.3514603749864" "23.7551954407498" "-1" "ev_20131205_052030A_01" "ev_20131206_060625A_01"
"13" "70.0801683673331" "-41.6328780646597" "1" "ev_20131205_052030A_01" "ev_20131206_064037A_01"
"14" "70.4171050311665" "-28.2205039815266" "1" "ev_20131205_052030A_01" "ev_20131206_084542A_01"
"15" "69.234187028378" "-60.5768772426678" "1" "ev_20131205_052030A_01" "ev_20131206_085126A_01"
"16" "70.5149211809354" "-23.480191696733" "1" "ev_20131205_052030A_01" "ev_20131206_085535A_01"
"17" "75.6554073022596" "78.5425800436244" "-1" "ev_20131205_052030A_01" "ev_20131206_092612A_01"
"18" "70.4268121510796" "-27.7671905888778" "1" "ev_20131205_052030A_01" "ev_20131206_093027A_01"
"19" "68.4659080603788" "-68.7813963106761" "-1" "ev_20131205_052030A_01" "ev_20131206_093520A_01"
"20" "245.914795612598" "79.1890299284599" "-1" "ev_20131205_052030A_01" "ev_20131206_110850A_01"
"21" "71.1103066329179" "10.6482943962601" "1" "ev_20131205_052030A_01" "ev_20131206_111114A_01"
"22" "66.8099593533917" "-76.9195726061249" "1" "ev_20131205_052030A_01" "ev_20131206_114015A_01"
"23" "250.054372638379" "42.4844596557897" "-1" "ev_20131205_052030A_01" "ev_20131206_121457A_01"
