"ra" "dec" "antirad" "event1" "event2"
"1" 140.7015601131 -8.88579889075316 0 "ev_20120817_022248A_01" "ev_20120817_023350A_01"
"2" 145.171866903732 -9.70788628254869 0 "ev_20120817_022248A_01" "ev_20120817_033145A_01"
"3" 261.037272988001 -5.11125836041984 0 "ev_20120817_022248A_01" "ev_20120817_033721A_01"
"4" 34.7676900537336 12.9825960601164 -1 "ev_20120817_022248A_01" "ev_20120817_034433A_01"
"5" 43.6088814999052 12.0208020632723 -1 "ev_20120817_022248A_01" "ev_20120817_044547A_01"
"6" 340.699391384978 12.0596578386599 -1 "ev_20120817_022248A_01" "ev_20120817_050658A_01"
"7" 35.381737874997 12.9254425120857 -1 "ev_20120817_022248A_01" "ev_20120817_070232A_01"
"8" 176.28755794237 -13.5332106457679 -1 "ev_20120817_022248A_01" "ev_20120817_072213A_01"
"9" 158.646108406517 -11.7968748795168 0 "ev_20120817_022248A_01" "ev_20120817_072643A_01"
"10" 105.391276507039 -0.847758928215019 -1 "ev_20120817_022248A_01" "ev_20120817_075750A_01"
"11" 245.655665283567 -8.42838101686322 -1 "ev_20120817_022248A_01" "ev_20120817_075842A_01"
"12" 52.4496756857748 10.7726109206485 -1 "ev_20120817_022248A_01" "ev_20120817_080213A_01"
"13" 66.8115441440624 8.19878043189311 -1 "ev_20120817_022248A_01" "ev_20120817_081455A_01"
"14" 209.665539368618 -13.4003741987826 -1 "ev_20120817_022248A_01" "ev_20120817_083347A_01"
"15" 69.0856329041269 7.73675387469527 -1 "ev_20120817_022248A_01" "ev_20120817_083845A_01"
"16" 175.764994118984 -13.4992214157876 -1 "ev_20120817_022248A_01" "ev_20120817_091122A_01"
"17" 112.628571802279 -2.64078620449695 -1 "ev_20120817_022248A_01" "ev_20120817_091547A_01"
"18" 23.9751009553093 13.7441598795245 -1 "ev_20120817_022248A_01" "ev_20120817_092012A_01"
"19" 189.455896866123 -14.0247522470977 -1 "ev_20120817_022248A_01" "ev_20120817_092201A_01"
"20" 141.128805995861 -8.96691426462503 0 "ev_20120817_022248A_01" "ev_20120817_093722A_01"
"21" 138.759852341118 -4.41594441920254 0 "ev_20120817_023350A_01" "ev_20120817_033145A_01"
"22" 6.97872775136937 60.8590861979835 0 "ev_20120817_023350A_01" "ev_20120817_033721A_01"
"23" 56.9932694658156 66.5120855741794 1 "ev_20120817_023350A_01" "ev_20120817_034433A_01"
"24" 64.3723283157982 65.8406084660818 1 "ev_20120817_023350A_01" "ev_20120817_044547A_01"
"25" 154.851268755929 -35.8201200683769 -1 "ev_20120817_023350A_01" "ev_20120817_050658A_01"
"26" 0.951321752980713 58.4130472726647 1 "ev_20120817_023350A_01" "ev_20120817_070232A_01"
"27" 104.24589017247 51.5657188701655 0 "ev_20120817_023350A_01" "ev_20120817_072213A_01"
"28" 103.466188964379 52.1487033952754 0 "ev_20120817_023350A_01" "ev_20120817_072643A_01"
"29" 57.0719326277583 66.5069291236118 1 "ev_20120817_023350A_01" "ev_20120817_075750A_01"
"30" 44.2396409304259 66.8173638436706 0 "ev_20120817_023350A_01" "ev_20120817_075842A_01"
"31" 49.8368229033256 66.8112928329445 1 "ev_20120817_023350A_01" "ev_20120817_080213A_01"
"32" 35.8348181495934 66.450222284518 1 "ev_20120817_023350A_01" "ev_20120817_081455A_01"
"33" 88.1239551943539 60.3576608161347 0 "ev_20120817_023350A_01" "ev_20120817_083347A_01"
"34" 162.106372829819 -44.9070756672748 0 "ev_20120817_023350A_01" "ev_20120817_083845A_01"
"35" 62.1284607519889 66.0860545304442 0 "ev_20120817_023350A_01" "ev_20120817_091122A_01"
"36" 349.466477117514 51.5497809625695 1 "ev_20120817_023350A_01" "ev_20120817_091547A_01"
"37" 309.202695699756 -17.3147061391975 -1 "ev_20120817_023350A_01" "ev_20120817_092012A_01"
"38" 96.6979202006688 56.4476150573696 0 "ev_20120817_023350A_01" "ev_20120817_092201A_01"
"39" 145.241226678953 -18.8014138617773 1 "ev_20120817_023350A_01" "ev_20120817_093722A_01"
"40" 57.245896109057 39.4899224420098 -1 "ev_20120817_033145A_01" "ev_20120817_033721A_01"
"41" 41.2007050256462 40.2813831757466 1 "ev_20120817_033145A_01" "ev_20120817_034433A_01"
"42" 49.937586105217 40.1281797816052 1 "ev_20120817_033145A_01" "ev_20120817_044547A_01"
"43" 338.970928237185 20.0162806874096 1 "ev_20120817_033145A_01" "ev_20120817_050658A_01"
"44" 22.4718551081983 38.3626325325794 1 "ev_20120817_033145A_01" "ev_20120817_070232A_01"
"45" 19.5401390589659 37.772131315695 0 "ev_20120817_033145A_01" "ev_20120817_072213A_01"
"46" 347.732828171712 25.4882420015693 0 "ev_20120817_033145A_01" "ev_20120817_072643A_01"
"47" 95.3604219086975 27.6660235145334 1 "ev_20120817_033145A_01" "ev_20120817_075750A_01"
"48" 59.2708754743677 39.2289914572038 0 "ev_20120817_033145A_01" "ev_20120817_075842A_01"
"49" 51.6585894491628 40.0201356192986 1 "ev_20120817_033145A_01" "ev_20120817_080213A_01"
"50" 57.5217229872256 39.4565564275826 1 "ev_20120817_033145A_01" "ev_20120817_081455A_01"
"51" 48.5345509797978 40.1972080514444 0 "ev_20120817_033145A_01" "ev_20120817_083347A_01"
"52" 23.8914978172502 38.6192157769546 1 "ev_20120817_033145A_01" "ev_20120817_083845A_01"
"53" 6.57384152832885 34.1272637088611 0 "ev_20120817_033145A_01" "ev_20120817_091122A_01"
"54" 85.539139620281 32.2236758794784 1 "ev_20120817_033145A_01" "ev_20120817_091547A_01"
"55" 283.187582893117 -23.1982274598544 -1 "ev_20120817_033145A_01" "ev_20120817_092012A_01"
"56" 33.3438165763963 39.8558915063066 0 "ev_20120817_033145A_01" "ev_20120817_092201A_01"
"57" 139.599110710669 -5.1194503279955 1 "ev_20120817_033145A_01" "ev_20120817_093722A_01"
"58" 44.5581605980004 49.376381474685 -1 "ev_20120817_033721A_01" "ev_20120817_034433A_01"
