"ra" "dec" "antirad" "event1" "event2"
"1" "223.088450165131" "-15.6912224310136" "0" "ev_20140420_050054A_01" "ev_20140420_052513A_01"
"2" "197.399651754115" "3.2306914349937" "-1" "ev_20140420_050054A_01" "ev_20140420_060937A_01"
"3" "215.65011572825" "-10.5419097020807" "-1" "ev_20140420_050054A_01" "ev_20140420_071523A_01"
"4" "226.751470031223" "-18.0548483434892" "1" "ev_20140420_050054A_01" "ev_20140420_072606A_01"
"5" "270.246829549788" "-35.5538368964416" "1" "ev_20140420_050054A_01" "ev_20140420_080320A_01"
"6" "207.503116609054" "-4.49996260666785" "1" "ev_20140420_050054A_01" "ev_20140420_080444A_01"
"7" "197.162857661717" "3.41129788016246" "-1" "ev_20140420_050054A_01" "ev_20140420_094255A_01"
"8" "129.532084174384" "36.1395524499264" "-1" "ev_20140420_050054A_01" "ev_20140421_034452A_01"
"9" "175.097006144223" "18.9162256478468" "-1" "ev_20140420_050054A_01" "ev_20140421_073619A_01"
"10" "288.553108355398" "-37.4659776272295" "-1" "ev_20140420_050054A_01" "ev_20140421_090251A_01"
"11" "267.605953957305" "-35.0330191994294" "0" "ev_20140420_050054A_01" "ev_20140422_043423A_01"
"12" "240.186425402594" "-25.5707248028754" "1" "ev_20140420_050054A_01" "ev_20140422_052835A_01"
"13" "222.9138846715" "-15.5755293044798" "0" "ev_20140420_050054A_01" "ev_20140422_055855A_01"
"14" "135.209297234033" "35.1200521798271" "-1" "ev_20140420_050054A_01" "ev_20140422_063338A_01"
"15" "169.52064009093" "22.1857196163585" "-1" "ev_20140420_050054A_01" "ev_20140422_063708A_01"
"16" "135.611533575172" "35.0366424957942" "-1" "ev_20140420_050054A_01" "ev_20140422_065451A_01"
"17" "261.129010313924" "-33.4791847672107" "-1" "ev_20140420_050054A_01" "ev_20140422_073930A_01"
"18" "191.242380442113" "7.86933152863189" "-1" "ev_20140420_050054A_01" "ev_20140422_075513A_01"
"19" "265.292515068926" "-34.5236495523899" "1" "ev_20140420_050054A_01" "ev_20140422_080752A_01"
"20" "230.225635900775" "-20.1775693312092" "1" "ev_20140420_050054A_01" "ev_20140422_081954A_01"
"21" "264.124519170123" "-34.2473590169576" "-1" "ev_20140420_050054A_01" "ev_20140422_082834A_01"
"22" "244.006928391182" "-27.3575390981943" "-1" "ev_20140420_050054A_01" "ev_20140422_084756A_01"
"23" "202.006419419983" "-0.298560807902241" "1" "ev_20140420_050054A_01" "ev_20140422_084813A_01"
"24" "243.405948136433" "-27.0868775594103" "-1" "ev_20140420_050054A_01" "ev_20140422_085505A_01"
"25" "176.737194740775" "17.8950917498369" "-1" "ev_20140420_050054A_01" "ev_20140422_085745A_01"
"26" "222.395992453133" "-15.2307243479028" "-1" "ev_20140420_050054A_01" "ev_20140422_090325A_01"
"27" "226.044054547753" "-17.6081406758951" "-1" "ev_20140420_050054A_01" "ev_20140422_092134A_01"
"28" "159.800134520609" "27.0998984052491" "-1" "ev_20140420_050054A_01" "ev_20140422_093406A_01"
"29" "163.115641854792" "25.5378550206017" "-1" "ev_20140420_050054A_01" "ev_20140422_093600A_01"
"30" "181.964475421181" "14.4733043379736" "-1" "ev_20140420_050054A_01" "ev_20140422_094309A_01"
"31" "198.694882332064" "2.24086139910145" "-1" "ev_20140420_050054A_01" "ev_20140422_095545A_01"
"32" "251.98868950937" "-30.5877300139535" "1" "ev_20140420_050054A_01" "ev_20140422_095719A_01"
"33" "187.231405256572" "10.7957388443245" "-1" "ev_20140420_050054A_01" "ev_20140422_100640A_01"
"34" "272.844468424951" "-36.004120890074" "1" "ev_20140420_050054A_01" "ev_20140422_101926A_01"
"35" "198.830685917756" "2.13691592130377" "-1" "ev_20140420_050054A_01" "ev_20140422_103554A_01"
"36" "192.168740184313" "7.18100762876946" "0" "ev_20140420_050054A_01" "ev_20140423_031127A_01"
"37" "283.291233465851" "-37.212742818381" "1" "ev_20140420_050054A_01" "ev_20140423_042423A_01"
"38" "187.518947797741" "10.5892019816733" "0" "ev_20140420_050054A_01" "ev_20140423_043608A_01"
"39" "209.248260567149" "-5.81915405115334" "1" "ev_20140420_050054A_01" "ev_20140423_043913A_01"
"40" "167.190444759207" "23.4559979152792" "-1" "ev_20140420_050054A_01" "ev_20140423_054418A_01"
"41" "260.884222506442" "-33.4125801866557" "1" "ev_20140420_050054A_01" "ev_20140425_095459A_01"
"42" "293.960508733468" "-37.4824220015437" "-1" "ev_20140420_050054A_01" "ev_20140425_101831A_01"
"43" "187.816427817931" "-1.85307367992356" "-1" "ev_20140420_052513A_01" "ev_20140420_060937A_01"
"44" "214.787039168586" "-12.8833096106119" "-1" "ev_20140420_052513A_01" "ev_20140420_071523A_01"
"45" "225.746096968809" "-16.5118282642938" "1" "ev_20140420_052513A_01" "ev_20140420_072606A_01"
"46" "269.767529326904" "-23.793932848011" "1" "ev_20140420_052513A_01" "ev_20140420_080320A_01"
"47" "212.645197800987" "-12.1027818445262" "1" "ev_20140420_052513A_01" "ev_20140420_080444A_01"
"48" "190.66438203271" "-3.10307705848873" "-1" "ev_20140420_052513A_01" "ev_20140420_094255A_01"
"49" "138.296684994628" "17.4445310382323" "-1" "ev_20140420_052513A_01" "ev_20140421_034452A_01"
"50" "325.805535029292" "-15.1594484564992" "1" "ev_20140420_052513A_01" "ev_20140421_073619A_01"
"51" "283.575361413412" "-23.5218938169164" "-1" "ev_20140420_052513A_01" "ev_20140421_090251A_01"
"52" "335.105147138459" "-11.9121706296644" "-1" "ev_20140420_052513A_01" "ev_20140422_043423A_01"
"53" "243.353933605863" "-20.8915860129186" "1" "ev_20140420_052513A_01" "ev_20140422_052835A_01"
"54" "222.867441969276" "-15.6212067826751" "0" "ev_20140420_052513A_01" "ev_20140422_055855A_01"
"55" "303.198571875499" "-21.022985145152" "1" "ev_20140420_052513A_01" "ev_20140422_063338A_01"
"56" "154.39460555446" "12.1751808725861" "-1" "ev_20140420_052513A_01" "ev_20140422_063708A_01"
"57" "303.952822107654" "-20.8778191344955" "1" "ev_20140420_052513A_01" "ev_20140422_065451A_01"
"58" "263.193115052133" "-23.4911521274645" "-1" "ev_20140420_052513A_01" "ev_20140422_073930A_01"
"59" "180.180770271317" "1.51773140775858" "-1" "ev_20140420_052513A_01" "ev_20140422_075513A_01"
"60" "266.618595532419" "-23.6837048089821" "1" "ev_20140420_052513A_01" "ev_20140422_080752A_01"
"61" "231.589437164873" "-18.1732367255642" "1" "ev_20140420_052513A_01" "ev_20140422_081954A_01"
"62" "265.42046916892" "-23.6249631027735" "-1" "ev_20140420_052513A_01" "ev_20140422_082834A_01"
"63" "247.63307405335" "-21.6654128857442" "-1" "ev_20140420_052513A_01" "ev_20140422_084756A_01"
"64" "194.818448225714" "-4.90624638389019" "1" "ev_20140420_052513A_01" "ev_20140422_084813A_01"
"65" "246.275020848435" "-21.4324281297415" "-1" "ev_20140420_052513A_01" "ev_20140422_085505A_01"
"66" "163.080786341969" "8.81262460875086" "-1" "ev_20140420_052513A_01" "ev_20140422_085745A_01"
"67" "222.209941430235" "-15.4113216208985" "-1" "ev_20140420_052513A_01" "ev_20140422_090325A_01"
"68" "226.784882060886" "-16.8217061467865" "-1" "ev_20140420_052513A_01" "ev_20140422_092134A_01"
"69" "326.375349137472" "-14.973238955247" "1" "ev_20140420_052513A_01" "ev_20140422_093406A_01"
"70" "149.541858714501" "13.9071424144615" "-1" "ev_20140420_052513A_01" "ev_20140422_093600A_01"
"71" "169.318576833619" "6.22920110430676" "-1" "ev_20140420_052513A_01" "ev_20140422_094309A_01"
"72" "191.015962036639" "-3.25674124315751" "-1" "ev_20140420_052513A_01" "ev_20140422_095545A_01"
"73" "255.036484184543" "-22.7281606406086" "1" "ev_20140420_052513A_01" "ev_20140422_095719A_01"
"74" "159.165460998334" "10.3664785212842" "-1" "ev_20140420_052513A_01" "ev_20140422_100640A_01"
"75" "273.145115350585" "-23.8410462983745" "1" "ev_20140420_052513A_01" "ev_20140422_101926A_01"
"76" "190.846376227719" "-3.18264144201254" "-1" "ev_20140420_052513A_01" "ev_20140422_103554A_01"
"77" "311.94809506776" "-19.1197614726682" "1" "ev_20140420_052513A_01" "ev_20140423_031127A_01"
"78" "279.335852114144" "-23.7362865118287" "1" "ev_20140420_052513A_01" "ev_20140423_042423A_01"
"79" "174.799106195254" "3.87598827098758" "0" "ev_20140420_052513A_01" "ev_20140423_043608A_01"
"80" "206.652723924007" "-9.81055693755206" "1" "ev_20140420_052513A_01" "ev_20140423_043913A_01"
"81" "150.23297972575" "13.6675637043019" "-1" "ev_20140420_052513A_01" "ev_20140423_054418A_01"
"82" "261.262084194889" "-23.3492501625097" "1" "ev_20140420_052513A_01" "ev_20140425_095459A_01"
"83" "290.365399266247" "-22.9370711409922" "-1" "ev_20140420_052513A_01" "ev_20140425_101831A_01"
"84" "225.446901274224" "16.6147942923971" "0" "ev_20140420_060937A_01" "ev_20140420_071523A_01"
"85" "30.0482420830856" "-9.69470044756803" "-1" "ev_20140420_060937A_01" "ev_20140420_072606A_01"
"86" "268.089721454668" "27.3655337923134" "1" "ev_20140420_060937A_01" "ev_20140420_080320A_01"
"87" "21.117663710804" "-5.17737118739434" "-1" "ev_20140420_060937A_01" "ev_20140420_080444A_01"
"88" "16.5156163248029" "-2.764249744608" "1" "ev_20140420_060937A_01" "ev_20140420_094255A_01"
"89" "331.810993261098" "18.6824956776808" "1" "ev_20140420_060937A_01" "ev_20140421_034452A_01"
"90" "42.3811311481126" "-15.3460414134636" "-1" "ev_20140420_060937A_01" "ev_20140421_073619A_01"
"91" "269.355014682154" "27.4809970974954" "0" "ev_20140420_060937A_01" "ev_20140421_090251A_01"
"92" "0.607575076901032" "5.63634212427335" "-1" "ev_20140420_060937A_01" "ev_20140422_043423A_01"
"93" "272.51488381536" "27.71847059075" "1" "ev_20140420_060937A_01" "ev_20140422_052835A_01"
"94" "265.451360956823" "27.0872080280997" "0" "ev_20140420_060937A_01" "ev_20140422_055855A_01"
"95" "270.652442086979" "27.5872876330397" "1" "ev_20140420_060937A_01" "ev_20140422_063338A_01"
"96" "276.791178449772" "27.9244265234043" "1" "ev_20140420_060937A_01" "ev_20140422_063708A_01"
"97" "272.332838562531" "27.7067592398459" "1" "ev_20140420_060937A_01" "ev_20140422_065451A_01"
"98" "271.900058810131" "27.6779514227503" "0" "ev_20140420_060937A_01" "ev_20140422_073930A_01"
"99" "296.259932195979" "27.1877654607722" "1" "ev_20140420_060937A_01" "ev_20140422_075513A_01"
"100" "271.735951501927" "27.6666719224277" "1" "ev_20140420_060937A_01" "ev_20140422_080752A_01"
"101" "259.927590532283" "26.339471615544" "1" "ev_20140420_060937A_01" "ev_20140422_081954A_01"
"102" "270.524957100055" "27.5773861243297" "0" "ev_20140420_060937A_01" "ev_20140422_082834A_01"
"103" "275.065883562455" "27.8572855514612" "0" "ev_20140420_060937A_01" "ev_20140422_084756A_01"
"104" "242.366726906012" "22.4671803169359" "1" "ev_20140420_060937A_01" "ev_20140422_084813A_01"
"105" "267.980504987715" "27.3550202994931" "0" "ev_20140420_060937A_01" "ev_20140422_085505A_01"
"106" "285.795169704222" "27.9252098785594" "1" "ev_20140420_060937A_01" "ev_20140422_085745A_01"
"107" "265.284130339405" "27.0678527607087" "0" "ev_20140420_060937A_01" "ev_20140422_090325A_01"
"108" "266.612347984759" "27.215944879946" "0" "ev_20140420_060937A_01" "ev_20140422_092134A_01"
"109" "284.10115647669" "27.9698652366434" "1" "ev_20140420_060937A_01" "ev_20140422_093406A_01"
"110" "285.103709036533" "27.9459464783904" "1" "ev_20140420_060937A_01" "ev_20140422_093600A_01"
"111" "292.241048419511" "27.5651397363131" "1" "ev_20140420_060937A_01" "ev_20140422_094309A_01"
"112" "27.5012733101011" "-8.43523885014677" "1" "ev_20140420_060937A_01" "ev_20140422_095545A_01"
"113" "271.581306552689" "27.6558637253531" "1" "ev_20140420_060937A_01" "ev_20140422_095719A_01"
"114" "29.3708359973505" "-9.36233404455169" "0" "ev_20140420_060937A_01" "ev_20140422_100640A_01"
"115" "274.168671030948" "27.8138441632565" "1" "ev_20140420_060937A_01" "ev_20140422_101926A_01"
"116" "31.8961668110866" "-10.5911182854568" "1" "ev_20140420_060937A_01" "ev_20140422_103554A_01"
"117" "19.9898213890119" "-4.58983274579877" "-1" "ev_20140420_060937A_01" "ev_20140423_031127A_01"
"118" "267.58350012533" "27.3160706677556" "1" "ev_20140420_060937A_01" "ev_20140423_042423A_01"
"119" "274.94309530323" "27.8516850445291" "1" "ev_20140420_060937A_01" "ev_20140423_043608A_01"
"120" "223.26368329567" "15.7173611761032" "1" "ev_20140420_060937A_01" "ev_20140423_043913A_01"
"121" "266.263299010408" "27.1782757332183" "1" "ev_20140420_060937A_01" "ev_20140423_054418A_01"
"122" "262.812956257593" "26.7579757436676" "1" "ev_20140420_060937A_01" "ev_20140425_095459A_01"
"123" "280.424329545394" "27.9953374292786" "0" "ev_20140420_060937A_01" "ev_20140425_101831A_01"
"124" "38.0426148501977" "3.87511215012626" "-1" "ev_20140420_071523A_01" "ev_20140420_072606A_01"
"125" "85.4200936273622" "-63.9023884640123" "-1" "ev_20140420_071523A_01" "ev_20140420_080320A_01"
"126" "34.2332116084012" "14.3621014698756" "-1" "ev_20140420_071523A_01" "ev_20140420_080444A_01"
"127" "232.087098923484" "31.9099783693967" "1" "ev_20140420_071523A_01" "ev_20140420_094255A_01"
"128" "2.61537579755535" "59.5277771583192" "1" "ev_20140420_071523A_01" "ev_20140421_034452A_01"
"129" "44.7752130367177" "-14.8579718134814" "-1" "ev_20140420_071523A_01" "ev_20140421_073619A_01"
"130" "253.060181709593" "57.5433092001651" "0" "ev_20140420_071523A_01" "ev_20140421_090251A_01"
"131" "30.6134883511964" "23.4586156052375" "-1" "ev_20140420_071523A_01" "ev_20140422_043423A_01"
"132" "181.810071870479" "-59.9894497791233" "-1" "ev_20140420_071523A_01" "ev_20140422_052835A_01"
"133" "28.5992988074941" "28.0238151992302" "0" "ev_20140420_071523A_01" "ev_20140422_055855A_01"
"134" "63.5986268459141" "-49.3004920665726" "-1" "ev_20140420_071523A_01" "ev_20140422_063338A_01"
"135" "235.548720227804" "38.2629715179722" "1" "ev_20140420_071523A_01" "ev_20140422_063708A_01"
"136" "244.486471550509" "50.2553006605357" "1" "ev_20140420_071523A_01" "ev_20140422_065451A_01"
"137" "292.601168468684" "69.7887695895531" "0" "ev_20140420_071523A_01" "ev_20140422_073930A_01"
"138" "228.645095602773" "24.4824718808123" "1" "ev_20140420_071523A_01" "ev_20140422_075513A_01"
