"ra" "dec" "antirad" "event1" "event2"
"1" "354.045735141271" "37.2707836149804" "1" "ev_20101002_051908A_01" "ev_20101004_030116A_01"
"2" "348.590638696472" "36.4404307195109" "0" "ev_20101002_051908A_01" "ev_20101004_033500A_01"
"3" "39.4354074487986" "34.1426505227921" "-1" "ev_20101002_051908A_01" "ev_20101004_051736A_01"
"4" "311.067892745036" "22.7404643169235" "-1" "ev_20101002_051908A_01" "ev_20101004_054001A_01"
"5" "358.868724090196" "37.7852822326618" "1" "ev_20101002_051908A_01" "ev_20101004_074209A_01"
"6" "52.243362322915" "29.7952106464649" "-1" "ev_20101002_051908A_01" "ev_20101004_085740A_01"
"7" "111.117074395945" "-9.45734483910071" "-1" "ev_20101002_051908A_01" "ev_20101004_092141A_01"
"8" "23.1194847045005" "37.350694858508" "-1" "ev_20101002_051908A_01" "ev_20101005_020945A_01"
"9" "261.388891245931" "-13.3289307905996" "-1" "ev_20101002_051908A_01" "ev_20101005_070115A_01"
"10" "78.3667250552036" "15.43900173343" "-1" "ev_20101002_051908A_01" "ev_20101005_073937A_01"
"11" "119.127142731428" "-15.2258095360235" "-1" "ev_20101002_051908A_01" "ev_20101005_110507A_01"
"12" "217.540981280073" "-34.6440473172916" "0" "ev_20101002_051908A_01" "ev_20101005_111642A_01"
"13" "103.733558815407" "-3.79369317075168" "-1" "ev_20101002_051908A_01" "ev_20101005_111739A_01"
"14" "159.380273768525" "-34.4146719382688" "-1" "ev_20101002_051908A_01" "ev_20101006_020507A_01"
"15" "197.656388851067" "-37.8878211936159" "-1" "ev_20101002_051908A_01" "ev_20101006_052646A_01"
"16" "156.306824308468" "-33.556499366805" "-1" "ev_20101002_051908A_01" "ev_20101006_094604A_01"
"17" "92.4652710120747" "5.04414792432546" "-1" "ev_20101002_051908A_01" "ev_20101006_101359A_01"
"18" "111.540206437021" "-9.77359772806629" "-1" "ev_20101002_051908A_01" "ev_20101007_024124A_01"
"19" "230.468423449413" "-30.5004936937424" "0" "ev_20101002_051908A_01" "ev_20101007_031457A_01"
"20" "53.4407567419998" "29.300157239166" "-1" "ev_20101002_051908A_01" "ev_20101007_031725A_01"
"21" "69.4980021209926" "21.1336916111791" "-1" "ev_20101002_051908A_01" "ev_20101007_035935A_01"
"22" "41.6333219256515" "33.516439804604" "-1" "ev_20101002_051908A_01" "ev_20101007_075618A_01"
"23" "87.7243318060901" "8.67777325873019" "-1" "ev_20101002_051908A_01" "ev_20101007_083616A_01"
"24" "260.451508987983" "-13.9917239466119" "-1" "ev_20101002_051908A_01" "ev_20101007_091811A_01"
"25" "107.849743893712" "-6.98111283996779" "-1" "ev_20101002_051908A_01" "ev_20101007_103345A_01"
"26" "87.657332159462" "8.72833135815915" "-1" "ev_20101002_051908A_01" "ev_20101007_110545A_01"
"27" "130.308946441272" "-22.3070928292596" "-1" "ev_20101002_051908A_01" "ev_20101009_004217A_01"
"28" "74.7084542688868" "17.8827173816535" "-1" "ev_20101002_051908A_01" "ev_20101009_010028A_01"
"29" "209.725563045088" "-36.3487180006912" "-1" "ev_20101002_051908A_01" "ev_20101009_064746A_01"
"30" "20.4478301995451" "37.6458252176575" "-1" "ev_20101002_051908A_01" "ev_20101009_102915A_01"
"31" "41.7797797916859" "33.472994750504" "-1" "ev_20101002_051908A_01" "ev_20101012_020940A_01"
"32" "75.0075389428774" "17.6877405485143" "-1" "ev_20101002_051908A_01" "ev_20101012_050710A_01"
"33" "126.897317239074" "-20.2822828537814" "-1" "ev_20101002_051908A_01" "ev_20101012_053326A_01"
"34" "107.454143857276" "-6.67763218468809" "-1" "ev_20101002_051908A_01" "ev_20101012_105516A_01"
"35" "345.548725918811" "35.8597875254384" "0" "ev_20101002_051908A_01" "ev_20101013_010316A_01"
