"ra" "dec" "antirad" "event1" "event2"
"1" "337.859669122848" "40.6150146227511" "-1" "ev_20140715_035433A_01" "ev_20140715_042520A_01"
"2" "11.9436133436105" "57.2195204607833" "-1" "ev_20140715_035433A_01" "ev_20140715_080929A_01"
"3" "3.17863531053222" "54.8115299870975" "0" "ev_20140715_035433A_01" "ev_20140715_081022A_01"
"4" "326.249153038659" "28.2538261091038" "0" "ev_20140715_035433A_01" "ev_20140716_034022A_01"
"5" "300.241918883229" "-13.4141614306946" "0" "ev_20140715_035433A_01" "ev_20140717_035617A_01"
"6" "203.994567031774" "-59.2116681865866" "-1" "ev_20140715_035433A_01" "ev_20140717_041702A_01"
"7" "150.142288882051" "-32.9384319865541" "-1" "ev_20140715_035433A_01" "ev_20140717_053202A_01"
"8" "212.588248363754" "-59.8662913388556" "-1" "ev_20140715_035433A_01" "ev_20140717_053820A_01"
"9" "333.323599140337" "36.3515661544631" "1" "ev_20140715_035433A_01" "ev_20140717_082850A_01"
"10" "12.1954670314647" "57.2756392285877" "-1" "ev_20140715_035433A_01" "ev_20140718_044019A_01"
"11" "354.012921803351" "51.1608038684899" "0" "ev_20140715_035433A_01" "ev_20140718_052408A_01"
"12" "3.87432413573241" "55.0375346827927" "0" "ev_20140715_035433A_01" "ev_20140718_092551A_01"
"13" "359.924832580025" "53.6647710702178" "0" "ev_20140715_035433A_01" "ev_20140719_035122A_01"
"14" "293.720620575626" "-23.3480962328151" "0" "ev_20140715_035433A_01" "ev_20140720_040539A_01"
"15" "294.19341781125" "-22.6759923604668" "1" "ev_20140715_035433A_01" "ev_20140721_065221A_01"
"16" "296.458868760107" "-19.3457071839091" "1" "ev_20140715_035433A_01" "ev_20140721_073711A_01"
"17" "308.063310876501" "-0.170024204811055" "0" "ev_20140715_035433A_01" "ev_20140721_075429A_01"
"18" "309.976755962991" "3.13835868227046" "-1" "ev_20140715_035433A_01" "ev_20140721_080403A_01"
"19" "205.41717222799" "-59.3611356885612" "-1" "ev_20140715_035433A_01" "ev_20140721_090149A_01"
"20" "12.2783766620241" "57.2939660519503" "-1" "ev_20140715_035433A_01" "ev_20140722_080736A_01"
"21" "23.8128797475696" "59.1913624710282" "-1" "ev_20140715_035433A_01" "ev_20140722_081248A_01"
"22" "339.587645568069" "42.0664914919926" "0" "ev_20140715_035433A_01" "ev_20140723_045052A_01"
"23" "257.064805735525" "-53.4107136334228" "-1" "ev_20140715_035433A_01" "ev_20140723_062408A_01"
"24" "352.93311644352" "50.6380008925709" "0" "ev_20140715_035433A_01" "ev_20140723_083007A_01"
"25" "325.441521578944" "27.2103955209088" "0" "ev_20140715_035433A_01" "ev_20140724_053441A_01"
"26" "308.215921605499" "0.094134557630667" "0" "ev_20140715_035433A_01" "ev_20140725_063824A_01"
"27" "251.783681413668" "-55.2475653848841" "-1" "ev_20140715_035433A_01" "ev_20140802_033057A_01"
"28" "5.56871368585221" "55.5612827757606" "0" "ev_20140715_035433A_01" "ev_20140802_040220A_01"
"29" "311.011102598629" "4.91826585720821" "0" "ev_20140715_035433A_01" "ev_20140802_045551A_01"
"30" "337.85238049381" "40.6086988540191" "0" "ev_20140715_035433A_01" "ev_20140802_051255A_01"
"31" "295.784668312533" "-20.3553903051382" "1" "ev_20140715_035433A_01" "ev_20140802_055926A_01"
"32" "240.775984781003" "-57.9599847321473" "-1" "ev_20140715_035433A_01" "ev_20140803_033826A_01"
"33" "23.5591926279215" "59.1625448258359" "-1" "ev_20140715_035433A_01" "ev_20140803_034311A_01"
"34" "270.493253309653" "-46.6077269903507" "-1" "ev_20140715_035433A_01" "ev_20140803_035739A_01"
"35" "359.599739245969" "53.5417069714928" "0" "ev_20140715_035433A_01" "ev_20140803_042632A_01"
"36" "28.9109166276022" "59.658088166975" "-1" "ev_20140715_035433A_01" "ev_20140803_060813A_01"
"37" "327.641837565576" "29.9951469451695" "0" "ev_20140715_035433A_01" "ev_20140803_063534A_01"
"38" "286.237858169947" "-32.8738494749367" "-1" "ev_20140715_035433A_01" "ev_20140803_075655A_01"
"39" "45.9208966275254" "59.7552228305165" "-1" "ev_20140715_035433A_01" "ev_20140804_060839A_01"
"40" "225.432569517162" "-59.7832470417932" "-1" "ev_20140715_035433A_01" "ev_20140804_082929A_01"
"41" "315.235589580971" "12.0335336091564" "0" "ev_20140715_035433A_01" "ev_20140805_030028A_01"
