"ra" "dec" "antirad" "event1" "event2"
"1" 141.728730987371 25.8886445319791 -1 "ev_20100103_035402A_01" "ev_20100103_040816A_01"
"2" 270.966274329964 12.6933678606729 1 "ev_20100103_035402A_01" "ev_20100103_044841A_01"
"3" 195.151383480891 40.0650991361571 1 "ev_20100103_035402A_01" "ev_20100103_065615A_01"
"4" 219.893935783763 37.6713720468727 1 "ev_20100103_035402A_01" "ev_20100103_091419A_01"
"5" 268.027876750196 14.9221218267855 1 "ev_20100103_035402A_01" "ev_20100103_100720A_01"
"6" 258.576215803779 21.4999736661541 1 "ev_20100103_035402A_01" "ev_20100103_103234A_01"
"7" 282.597579696308 3.27341342820557 0 "ev_20100103_035402A_01" "ev_20100103_105842A_01"
"8" 291.739564676072 -4.39655651815853 -1 "ev_20100103_035402A_01" "ev_20100103_111555A_01"
"9" 357.096557136383 -38.4322672214736 -1 "ev_20100103_035402A_01" "ev_20100103_112527A_01"
"10" 233.046769981449 34.0514265357774 1 "ev_20100103_035402A_01" "ev_20100103_113621A_01"
"11" 250.700050588329 26.1998194425787 1 "ev_20100103_035402A_01" "ev_20100103_124612A_01"
"12" 175.878136165047 38.2164172063882 0 "ev_20100103_035402A_01" "ev_20100103_125131A_01"
"13" 230.807213675225 34.7945560661975 0 "ev_20100103_035402A_01" "ev_20100103_125323A_01"
"14" 281.819498327112 -32.9814800941777 -1 "ev_20100103_040816A_01" "ev_20100103_044841A_01"
"15" 239.541567986313 -26.2529524505122 0 "ev_20100103_040816A_01" "ev_20100103_065615A_01"
"16" 246.696448486417 -28.4557015587981 0 "ev_20100103_040816A_01" "ev_20100103_091419A_01"
"17" 299.871060629281 -31.4245275828008 -1 "ev_20100103_040816A_01" "ev_20100103_100720A_01"
"18" 286.374978514998 -32.8364283351596 0 "ev_20100103_040816A_01" "ev_20100103_103234A_01"
"19" 347.429634221239 -14.0523701110642 0 "ev_20100103_040816A_01" "ev_20100103_105842A_01"
"20" 335.029799009162 -20.4603355745222 -1 "ev_20100103_040816A_01" "ev_20100103_111555A_01"
"21" 161.551597315009 17.2408144533976 -1 "ev_20100103_040816A_01" "ev_20100103_112527A_01"
"22" 230.288395918461 -22.7289370023481 -1 "ev_20100103_040816A_01" "ev_20100103_113621A_01"
"23" 286.431835218717 -32.8335697910935 0 "ev_20100103_040816A_01" "ev_20100103_124612A_01"
